,ID,Surveyed Date,Surveyed Time,Surveyed End Date,What brings you to this neighborhood today?,How often do you visit the neighborhood?,How much time do you typically spend when you visit?,How do you typically get to this neighborhood? Select Primary (next: secondary),How do you typically get to this neighborhood? (select secondary),How much money do you typically spend when you visit? (at businesses in the area),"In this neighborhood, how often do you recognize someone by face or name?",This neighborhood is clean and well-maintained?,This neighborhood is safe?,This neighborhood is attractive?,This neighborhood is active and lively?,This neighborhood is a place where its easy to talk to others? (who I may not have known before),This neighborhood has a strong identity?,This neighborhood is in an area with a lot of noise?,"When you visit the neighborhood, how often are you accompanied by anyone under 16 years old?","When you visit the neighborhood, how often are you accompanied by anyone over 65 years old?","When you visit the neighborhood, how often are you accompanied by anyone mobility assisted?","When you visit the neighborhood, how often are you accompanied by anyone who is a family member?",What year were you born?,Your gender identity?,Your ethnic identity?,Your racial identity?,What is your home zipcode?,Is it raining?,Location,Location Between,Location Between AND,Side of street for this interview,I live here,I work here,Passing through en route to somewhere else,Clinic,To meet friends,To shop,Dentist,Joining brother at the dentist,For music / art,Going to/from school,To dine / drink,Attractions,Fun,Fresh air,Volunteer,lat,lng,frmt_addrss,zipcode,area,lat_lng_geotype
105,9430790,06/03/2015,11:53:21,06/03/2015 11:56:00 AM,"I Live Here, Passing through en route to somewhere else",Daily,,Car,On foot,Greater than $30,Never,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,,Moderately Disagree,Never,Never,Never,Never,1980.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Moore,South,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
106,9515298,06/03/2015,11:53:26,06/03/2015 11:56:00 AM,I Live Here,Daily,10-30 minutes,On foot,Car,$5-10,Very often,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,,Never,Never,Never,Sometimes,1984.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
107,9515300,06/03/2015,12:00:01,06/03/2015 12:07:00 PM,I Work Here,Once a week,10-30 minutes,On foot,Bus,$10-30,Often,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Sometimes,1967.0,Male,Hispanic or Latino,Hispanic,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
108,9515303,06/03/2015,12:07:48,06/03/2015 12:12:00 PM,I Live Here,Daily,,On foot,,$10-30,Very often,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Often,Never,Never,Often,1986.0,Female,Hispanic or Latino,mix,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
109,9515306,06/03/2015,12:13:05,06/03/2015 12:19:00 PM,To shop,Daily,,Bike,On foot,Greater than $30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Never,Sometimes,Often,1974.0,Male,Non-Hispanic,White,90405.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
110,9515308,06/03/2015,12:20:36,06/03/2015 12:25:00 PM,Going to/from school,Several times a week,10-30 minutes,On foot,Car,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Often,Never,Never,Often,,Female,Hispanic or Latino,Hispanic,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
111,9515310,06/03/2015,12:25:51,06/03/2015 12:29:00 PM,I Live Here,Daily,< 10 minutes,On foot,Car,None,Never,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Disagree,Moderately Disagree,Never,Never,Never,Never,1987.0,Female,Hispanic or Latino,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
112,9515312,06/03/2015,13:02:10,06/03/2015 01:15:00 PM,I Live Here,Daily,,On foot,Car,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Never,Never,Sometimes,Often,1975.0,Male,Hispanic or Latino,Latino ,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
113,9515315,06/03/2015,13:19:25,06/03/2015 01:23:00 PM,I Live Here,Daily,,On foot,Bus,$10-30,Very often,,,,Moderately Agree,Moderately Agree,Moderately Agree,,Often,Never,Never,Often,1977.0,Female,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
114,9515317,06/03/2015,13:24:51,06/03/2015 01:31:00 PM,I Live Here,Several times a week,,Bike,Car,Greater than $30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Often,Never,Never,1983.0,Female,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
115,9515320,06/03/2015,13:35:51,06/03/2015 01:40:00 PM,Going to/from school,Daily,10-30 minutes,Car,,Less than $5,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Often,Never,Never,Often,1964.0,Female,Hispanic or Latino,Latino,90005.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
116,9515322,06/03/2015,13:41:20,06/03/2015 01:44:00 PM,To meet friends,,30 minutes - 1 hour,On foot,,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Never,Never,Never,1989.0,Female,,,19319.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
117,9515340,06/03/2015,13:45:25,06/03/2015 01:50:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Car,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Never,Never,Often,1998.0,Male,Hispanic or Latino,Latino,90302.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
118,9515341,06/03/2015,13:52:23,06/03/2015 01:56:00 PM,Going to/from school,Daily,30 minutes - 1 hour,Bus,On foot,$5-10,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Sometimes,Sometimes,Never,Often,1999.0,Female,Non-Hispanic,Asian,90034.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
119,9515342,06/03/2015,13:59:28,06/03/2015 02:03:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Car,Less than $5,Often,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Never,Never,Often,1953.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
120,9515343,06/03/2015,14:11:36,06/03/2015 02:15:00 PM,Going to/from school,Daily,,On foot,Bus,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Often,Never,Sometimes,Often,1999.0,Male,Hispanic or Latino,Latino ,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
121,9515344,06/03/2015,14:20:19,06/03/2015 02:24:00 PM,I Live Here,Daily,,Car,On foot,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1996.0,Male,Non-Hispanic,White,90232.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
122,9515346,06/03/2015,14:25:25,06/03/2015 02:27:00 PM,To meet friends,,,,,,,,,,,,,,,,,,,,,,,No,Venice Blvd,beethoven,Inglewood ,North,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
123,9515347,06/03/2015,14:29:15,06/03/2015 02:30:00 PM,I Work Here,,,,,,,,,,,,,,,,,,,,,,,No,Venice Blvd,beethoven,Inglewood ,North,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
124,9515348,06/03/2015,14:32:34,06/03/2015 02:38:00 PM,I Live Here,Daily,,On foot,Bus,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Sometimes,Never,Often,1964.0,Female,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
125,9515349,06/03/2015,14:41:16,06/03/2015 02:44:00 PM,I Work Here,Daily,,Car,,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Never,1989.0,Male,Hispanic or Latino,White,90016.0,No,Venice Blvd,beethoven,Inglewood ,North,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
126,9515350,06/03/2015,15:37:21,06/03/2015 03:41:00 PM,I Live Here,Daily,,On foot,Bus,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Never,Sometimes,Never,1957.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
127,9515351,06/03/2015,15:43:35,06/03/2015 03:47:00 PM,I Live Here,Daily,,On foot,Bus,Less than $5,Very often,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Disagree,Sometimes,Sometimes,Never,Often,1999.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
128,9515352,06/03/2015,15:49:02,06/03/2015 03:53:00 PM,I Live Here,Daily,,On foot,Car,Greater than $30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Sometimes,Sometimes,1981.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
129,9515353,06/03/2015,15:54:51,06/03/2015 04:02:00 PM,Passing through en route to somewhere else,,< 10 minutes,Bike,Bus,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,,Moderately Agree,Moderately Disagree,Never,Never,Sometimes,Never,1970.0,Male,Non-Hispanic,White,,No,Venice Blvd,beethoven,Inglewood ,North,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
130,9515356,06/03/2015,16:03:07,06/03/2015 04:07:00 PM,I Work Here,Several times a week,,Bike,Car,Less than $5,Very often,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Sometimes,Sometimes,1994.0,Female,Hispanic or Latino,White,90291.0,No,Venice Blvd,beethoven,Inglewood ,North,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
131,9515357,06/03/2015,16:08:11,06/03/2015 04:13:00 PM,I Live Here,Daily,,On foot,,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1950.0,Male,Hispanic or Latino,Hispanic ,90066.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
132,9515358,06/03/2015,16:15:44,06/03/2015 04:19:00 PM,"Passing through en route to somewhere else, To dine / drink",,30 minutes - 1 hour,Car,,$5-10,Never,Moderately Agree,Moderately Agree,Moderately Agree,,,Moderately Agree,Moderately Disagree,Never,Never,Never,Never,1985.0,Female,Non-Hispanic,White,90034.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
133,9515359,06/03/2015,16:22:32,06/03/2015 04:28:00 PM,I Work Here,Daily,,Car,,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Never,Never,Sometimes,1963.0,Male,Non-Hispanic,White,90291.0,No,Venice Blvd,beethoven,Inglewood ,South,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
134,9515486,06/06/2015,12:28:42,06/06/2015 12:30:00 PM,I Work Here,Several times a month,,Car,,Greater than $30,Never,Moderately Disagree,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Agree,,,,,,,,,,,No,Hollywood,la brea,Gower ,North,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.1015982,-118.3452602,Hollywood Boulevard & North La Brea Avenue,90046,Central LA,GEOMETRIC_CENTER
135,9515360,06/03/2015,16:29:31,06/03/2015 04:34:00 PM,To dine / drink,Once a week,30 minutes - 1 hour,Bike,Car,$10-30,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1990.0,Male,Non-Hispanic,White,90291.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
136,9515404,06/03/2015,16:38:14,06/03/2015 04:44:00 PM,To dine / drink,Daily,,Car,On foot,Less than $5,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Sometimes,Never,Never,Sometimes,1940.0,Male,Non-Hispanic,White,91780.0,No,Venice Blvd,beethoven,Inglewood ,South,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
137,9515405,06/03/2015,16:47:17,06/03/2015 04:51:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Car,$10-30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Never,Never,Sometimes,1986.0,Male,Non-Hispanic,AsianBlackNative AmericanNative Hawaiian or Pac IslanderWhite,,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
138,9515406,06/03/2015,16:51:59,06/03/2015 04:58:00 PM,I Work Here,Daily,,Car,,$5-10,Sometimes,Moderately Agree,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Sometimes,Never,Never,Sometimes,1963.0,Male,Non-Hispanic,White,90301.0,No,Venice Blvd,beethoven,Inglewood ,North,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
139,9515407,06/03/2015,16:59:07,06/03/2015 05:03:00 PM,I Work Here,Daily,,Car,On foot,$10-30,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Often,Never,Sometimes,Often,1954.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,North,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
140,9515408,06/03/2015,17:08:21,06/03/2015 05:12:00 PM,I Live Here,,,,,,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Often,1983.0,Female,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
141,9515409,06/03/2015,17:16:07,06/03/2015 05:19:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,,$10-30,Often,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Sometimes,Never,Never,1965.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
142,9515410,06/03/2015,17:19:46,06/03/2015 05:25:00 PM,I Live Here,Daily,,Car,,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1989.0,Male,Non-Hispanic,White,90034.0,No,Venice Blvd,beethoven,Inglewood ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
143,9515475,06/03/2015,17:30:59,06/03/2015 05:36:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Never,Sometimes,1993.0,Male,Non-Hispanic,multiracial ,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
144,9515476,06/03/2015,17:47:34,06/03/2015 05:54:00 PM,"I Live Here,  To dine / drink",Daily,,On foot,Car,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Never,Never,1951.0,Male,Non-Hispanic,White,90066.0,No,Venice Blvd,beethoven,Inglewood ,South,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,33.9997707,-118.4412112,Venice Boulevard & Beethoven Street,90066,Mar Vista,GEOMETRIC_CENTER
145,9515425,06/04/2015,17:22:49,06/04/2015 05:23:00 PM,"I Work Here, Passing through en route to somewhere elseFor music / art, To shop",,,,,,,,,,,,,,,,,,,,,,,No,Hollywood,,,West,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
146,9515426,06/06/2015,11:03:31,06/06/2015 11:07:00 AM,To meet friends,Several times a week,,Bus,On foot,$10-30,Often,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Never,Sometimes,Never,Often,1955.0,Male,Non-Hispanic,White,,No,Hollywood,whitley,schrader,South,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34.1015921,-118.3333515,Hollywood Boulevard & Whitley Avenue,90028,Central LA,GEOMETRIC_CENTER
147,9515427,06/06/2015,11:08:58,06/06/2015 11:15:00 AM,"I Work Here,  For music / art, To dine / drink, To shop",Daily,,On foot,Taxi,$10-30,Never,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1989.0,Female,Non-Hispanic,White,90046.0,No,Hollywood,cherokee,whitler,South,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,34.1015843,-118.3347598,Hollywood Boulevard & North Cherokee Avenue,90028,Central LA,GEOMETRIC_CENTER
148,9515428,06/06/2015,11:22:43,06/06/2015 11:27:00 AM,"I Live Here,  To meet friends, To dine / drink",Daily,,On foot,Other,$10-30,Sometimes,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Often,1977.0,Female,Non-Hispanic,Black,90038.0,No,Hollywood,cherokee,whitler,South,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,34.1015843,-118.3347598,Hollywood Boulevard & North Cherokee Avenue,90028,Central LA,GEOMETRIC_CENTER
149,9515477,06/06/2015,11:22:52,06/06/2015 11:28:00 AM,I Live Here,Daily,,On foot,Other,Greater than $30,Sometimes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Often,1985.0,Female,Non-Hispanic,White,90028.0,No,Hollywood,la brea,Gower,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.1015982,-118.3452602,Hollywood Boulevard & North La Brea Avenue,90046,Central LA,GEOMETRIC_CENTER
150,9470036,06/06/2015,11:23:30,06/06/2015 11:27:00 AM,I Live Here,Daily,,Bus,On foot,$10-30,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,,Moderately Agree,,,Never,Never,Never,Sometimes,,Male,Hispanic or Latino,White,90033.0,No,Cesar Chavez,evergreen,St. Louis,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.043789,-118.200607,Cesar E Chavez / Evergreen,90033,Central LA,GEOMETRIC_CENTER
151,9470037,06/06/2015,11:27:14,06/06/2015 11:28:00 AM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,,,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90033.0,No,Cesar Chavez,,,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
152,9515429,06/06/2015,11:27:22,06/06/2015 11:30:00 AM,"Passing through en route to somewhere else, To meet friends",,,On foot,,Greater than $30,Sometimes,,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Sometimes,Sometimes,Often,1961.0,Female,Non-Hispanic,White,55044.0,No,Hollywood,cherokee,whitler,South,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,34.1015843,-118.3347598,Hollywood Boulevard & North Cherokee Avenue,90028,Central LA,GEOMETRIC_CENTER
153,9470038,06/06/2015,11:30:47,06/06/2015 11:33:00 AM,I Live Here,Daily,30 minutes - 1 hour,Bus,Bus,$5-10,Never,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,,,Never,Never,Never,Sometimes,1968.0,Male,Hispanic or Latino,White,90023.0,No,Cesar Chavez,,,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
154,9515478,06/06/2015,11:31:00,06/06/2015 11:37:00 AM,I Work Here,Daily,,Bus,Car,$10-30,Often,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Never,Never,Sometimes,Sometimes,1947.0,Male,Non-Hispanic,White,91331.0,No,Hollywood,la brea,Gower,North,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.1015982,-118.3452602,Hollywood Boulevard & North La Brea Avenue,90046,Central LA,GEOMETRIC_CENTER
155,9515430,06/06/2015,11:31:06,06/06/2015 11:34:00 AM,"I Live Here, I Work Here,  To meet friends, To dine / drink",Daily,,Bus,On foot,$10-30,Often,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1984.0,Male,Hispanic or Latino,White,90028.0,No,Hollywood,cherokee,las palmas,South,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,34.1015843,-118.3347598,Hollywood Boulevard & North Cherokee Avenue,90028,Central LA,GEOMETRIC_CENTER
