ID,Surveyed Date,Surveyed Time,Surveyed End Date,Q1. What brings you to this neighborhood today?,Q2. How often do you visit the neighborhood?,Q3. How much time do you typically spend when you visit?,Q4. How do you typically get to this neighborhood? Select Primary (next: secondary),Q5. How do you typically get to this neighborhood? (select secondary),Q6. How much money do you typically spend when you visit? (at businesses in the area),"Q7. In this neighborhood, how often do you recognize someone by face or name?",Q8. This neighborhood is clean and well-maintained,Q9. This neighborhood is safe,Q10. This neighborhood is attractive,Q11. This neighborhood is active and lively,Q12. This neighborhood is a place where it's easy to talk to others (who I may not have known before),Q13. This neighborhood has a strong identity,Q14. This neighborhood is in an area with a lot of noise,"Q15. When you visit the neighborhood, how often are you accompanied by anyone under 16 years old?","Q16. When you visit the neighborhood, how often are you accompanied by anyone over 65 years old?","Q17. When you visit the neighborhood, how often are you accompanied by anyone mobility assisted?","Q18. When you visit the neighborhood, how often are you accompanied by anyone who is a family member?",Q19. What year were you born?,Q20. Your gender identity:,Q21. Your ethnic identity:,Q22. Your racial identity:,Q23. What is your home zipcode?,Q25. SURVEYOR: Is it raining?,Q26. SURVEYOR: Location,Q27. Location Between __,Q28. Location Between AND __,Q29. SURVEYOR: Side of street for this interview
9418908,06/02/2015,15:51:23,06/02/2015 03:54:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,Greater than $30,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Sometimes,Sometimes,Never,Sometimes,1955,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418909,06/02/2015,16:27:19,06/02/2015 04:31:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$10-30,Often,Moderately Agree,,Moderately Agree,Moderately Agree,Moderately Agree,,,Often,Never,Never,Often,1976,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418910,06/02/2015,16:34:13,06/02/2015 04:37:00 PM,Passing through en route to somewhere else,,,Bus,Bus,None,Never,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Agree,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,,No,Central Ave,,,East
9418911,06/02/2015,16:47:04,06/02/2015 04:49:00 PM,I Work Here,Daily,,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,,Never,Never,Never,Never,1988,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418912,06/02/2015,17:00:55,06/02/2015 05:04:00 PM,dentist,,30 minutes - 1 hour,Car,Bus,Less than $5,Never,Moderately Disagree,,Moderately Disagree,Moderately Disagree,Moderately Agree,,,Never,Never,Never,Often,1996,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418913,06/02/2015,17:04:01,06/02/2015 05:05:00 PM,joining brother at the dentist,,,Car,Bus,Less than $5,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,,Never,Never,Never,Sometimes,1998,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418915,06/02/2015,17:19:32,06/02/2015 05:33:00 PM,Passing through en route to somewhere else,Daily,10-30 minutes,Bus,Bus,None,Sometimes,,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,1968,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418916,06/02/2015,17:45:18,06/02/2015 05:48:00 PM,I Work Here,,,Bus,Bus,,Never,Moderately Disagree,Moderately Disagree,Strongly Disagree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,1960,Male,Hispanic or Latino,White,90015,No,Central Ave,,,East
9430775,06/03/2015,8:13:34,06/03/2015 08:17:00 AM,I Live Here,Daily,,On foot,Car,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Disagree,Never,Never,Never,Never,1972,Male,Non-Hispanic,White,90066,No,Venice Blvd,Wade,Moore,South
9430776,06/03/2015,8:17:13,06/03/2015 08:22:00 AM,"I Live Here,  For music / art",Daily,,Car,,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Never,Never,Never,Never,1980,Female,Non-Hispanic,,90066,No,Venice Blvd,Wade,Moore,South
9430777,06/03/2015,8:26:15,06/03/2015 08:29:00 AM,I Live Here,Daily,,Car,Bus,$5-10,Never,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Disagree,Sometimes,Never,Never,Often,1999,Female,Non-Hispanic,Black,90066,No,Venice Blvd,Beethoven,Moore,South
9430778,06/03/2015,8:49:15,06/03/2015 08:52:00 AM,"I Live Here, Passing through en route to somewhere else",Daily,,On foot,Bus,$10-30,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Don't Know / No Opinion,Never,Never,Never,Never,1978,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven,Moore,South
9430779,06/03/2015,9:13:16,06/03/2015 09:16:00 AM,I Live Here,Daily,,On foot,,$10-30,Sometimes,Moderately Agree,Moderately Agree,,Moderately Agree,,Moderately Disagree,Moderately Agree,Never,Sometimes,Never,Sometimes,1981,Female,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Moore,South
9430781,06/03/2015,9:40:29,06/03/2015 09:43:00 AM,"I Live Here, Passing through en route to somewhere else",Daily,30 minutes - 1 hour,Car,On foot,$5-10,Never,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Never,Never,Never,Never,1978,Male,Non-Hispanic,White,90066,Yes,Venice Blvd,Beethoven ,Moore ,South
9430783,06/03/2015,11:02:23,06/03/2015 11:05:00 AM,"I Live Here, Going to/from school",Daily,,Bus,Car,$5-10,Never,Strongly Disagree,,Moderately Agree,Moderately Agree,,Moderately Agree,Moderately Agree,Never,Often,Never,Sometimes,1995,Female,Non-Hispanic,Asian,90066,No,Venice Blvd,Beethoven ,Moore,South
9515288,06/03/2015,11:06:55,06/03/2015 11:11:00 AM,I Live Here,Daily,,On foot,Bus,$5-10,Sometimes,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1994,Male,Non-Hispanic,White,90212,Yes,Venice Blvd,Beethoven ,Inglewood ,North
9430785,06/03/2015,11:08:48,06/03/2015 11:11:00 AM,I Live Here,Daily,,Car,On foot,Greater than $30,Never,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,,Moderately Agree,Often,Never,Never,Often,1958,Female,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven,,North
9515289,06/03/2015,11:12:29,06/03/2015 11:18:00 AM,I Live Here,Several times a month,10-30 minutes,On foot,Car,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Sometimes,Never,Sometimes,1971,Male,Non-Hispanic,White,90066,Yes,Venice Blvd,Beethoven ,Inglewood ,North
9430787,06/03/2015,11:18:02,06/03/2015 11:21:00 AM,"I Live Here, Passing through en route to somewhere else",Daily,,Scooter/motorcycle,Bus,$10-30,Very often,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Never,Never,Sometimes,Often,1991,Male,Non-Hispanic,Black,90066,No,Venice Blvd,Beethoven ,Moore,South
9515290,06/03/2015,11:20:31,06/03/2015 11:25:00 AM,I Live Here,Daily,< 10 minutes,Other,,$10-30,Very often,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Don't Know / No Opinion,Never,Never,Never,Never,1987,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9430788,06/03/2015,11:25:50,06/03/2015 11:28:00 AM,"I Live Here, Going to/from school",Daily,,Car,Bus,$10-30,Sometimes,Moderately Agree,,,,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Never,Never,Never,1993,Male,Non-Hispanic,Asian,90066,Yes,Venice Blvd,Moore,Meier,North
9515291,06/03/2015,11:33:11,06/03/2015 11:37:00 AM,I Live Here,Daily,,On foot,Car,$10-30,Often,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Often,Never,Sometimes,Often,1988,Female,Hispanic or Latino,White,90066,Yes,Venice Blvd,Beethoven ,Inglewood ,South
9515292,06/03/2015,11:40:19,06/03/2015 11:46:00 AM,I Live Here,Daily,,On foot,Car,Greater than $30,Sometimes,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Often,Sometimes,Often,1943,Female,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9430789,06/03/2015,11:47:12,06/03/2015 11:50:00 AM,"I Live Here, I Work Here",Daily,,On foot,,$10-30,Very often,Don't Know / No Opinion,Moderately Agree,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Never,Sometimes,1991,Male,Hispanic or Latino,,20906,No,Venice Blvd,Beethoven ,Moore,South
9515293,06/03/2015,11:49:55,06/03/2015 11:53:00 AM,To dine / drink,Once a week,10-30 minutes,Bus,,$5-10,Never,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,,,,,,,,,,,,,No,Venice Blvd,Beethoven ,Inglewood ,South
9430790,06/03/2015,11:53:21,06/03/2015 11:56:00 AM,"I Live Here, Passing through en route to somewhere else",Daily,,Car,On foot,Greater than $30,Never,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,,Moderately Disagree,Never,Never,Never,Never,1980,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Moore,South
9515298,06/03/2015,11:53:26,06/03/2015 11:56:00 AM,I Live Here,Daily,10-30 minutes,On foot,Car,$5-10,Very often,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,,Never,Never,Never,Sometimes,1984,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515300,06/03/2015,12:00:01,06/03/2015 12:07:00 PM,I Work Here,Once a week,10-30 minutes,On foot,Bus,$10-30,Often,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Sometimes,1967,Male,Hispanic or Latino,Hispanic,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515303,06/03/2015,12:07:48,06/03/2015 12:12:00 PM,I Live Here,Daily,,On foot,,$10-30,Very often,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Often,Never,Never,Often,1986,Female,Hispanic or Latino,mix,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515306,06/03/2015,12:13:05,06/03/2015 12:19:00 PM,To shop,Daily,,Bike,On foot,Greater than $30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Never,Sometimes,Often,1974,Male,Non-Hispanic,White,90405,No,Venice Blvd,Beethoven ,Inglewood ,South
9515308,06/03/2015,12:20:36,06/03/2015 12:25:00 PM,Going to/from school,Several times a week,10-30 minutes,On foot,Car,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Often,Never,Never,Often,,Female,Hispanic or Latino,Hispanic,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515310,06/03/2015,12:25:51,06/03/2015 12:29:00 PM,I Live Here,Daily,< 10 minutes,On foot,Car,None,Never,Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Disagree,Moderately Disagree,Never,Never,Never,Never,1987,Female,Hispanic or Latino,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515312,06/03/2015,13:02:10,06/03/2015 01:15:00 PM,I Live Here,Daily,,On foot,Car,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Never,Never,Sometimes,Often,1975,Male,Hispanic or Latino,Latino ,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515315,06/03/2015,13:19:25,06/03/2015 01:23:00 PM,I Live Here,Daily,,On foot,Bus,$10-30,Very often,,,,Moderately Agree,Moderately Agree,Moderately Agree,,Often,Never,Never,Often,1977,Female,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515317,06/03/2015,13:24:51,06/03/2015 01:31:00 PM,I Live Here,Several times a week,,Bike,Car,Greater than $30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Often,Never,Never,1983,Female,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515320,06/03/2015,13:35:51,06/03/2015 01:40:00 PM,Going to/from school,Daily,10-30 minutes,Car,,Less than $5,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Often,Never,Never,Often,1964,Female,Hispanic or Latino,Latino,90005,No,Venice Blvd,Beethoven ,Inglewood ,South
9515322,06/03/2015,13:41:20,06/03/2015 01:44:00 PM,To meet friends,,30 minutes - 1 hour,On foot,,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Never,Never,Never,1989,Female,,,19319,No,Venice Blvd,Beethoven ,Inglewood ,South
9515340,06/03/2015,13:45:25,06/03/2015 01:50:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Car,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Never,Never,Often,1998,Male,Hispanic or Latino,Latino,90302,No,Venice Blvd,Beethoven ,Inglewood ,South
9515341,06/03/2015,13:52:23,06/03/2015 01:56:00 PM,Going to/from school,Daily,30 minutes - 1 hour,Bus,On foot,$5-10,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Sometimes,Sometimes,Never,Often,1999,Female,Non-Hispanic,Asian,90034,No,Venice Blvd,Beethoven ,Inglewood ,South
9515342,06/03/2015,13:59:28,06/03/2015 02:03:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Car,Less than $5,Often,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Never,Never,Often,1953,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515343,06/03/2015,14:11:36,06/03/2015 02:15:00 PM,Going to/from school,Daily,,On foot,Bus,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Often,Never,Sometimes,Often,1999,Male,Hispanic or Latino,Latino ,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515344,06/03/2015,14:20:19,06/03/2015 02:24:00 PM,I Live Here,Daily,,Car,On foot,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1996,Male,Non-Hispanic,White,90232,No,Venice Blvd,Beethoven ,Inglewood ,North
9515346,06/03/2015,14:25:25,06/03/2015 02:27:00 PM,To meet friends,,,,,,,,,,,,,,,,,,,,,,,No,Venice Blvd,Beethoven ,Inglewood ,North
9515347,06/03/2015,14:29:15,06/03/2015 02:30:00 PM,I Work Here,,,,,,,,,,,,,,,,,,,,,,,No,Venice Blvd,Beethoven ,Inglewood ,North
9515348,06/03/2015,14:32:34,06/03/2015 02:38:00 PM,I Live Here,Daily,,On foot,Bus,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Sometimes,Never,Often,1964,Female,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9515349,06/03/2015,14:41:16,06/03/2015 02:44:00 PM,I Work Here,Daily,,Car,,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Never,1989,Male,Hispanic or Latino,White,90016,No,Venice Blvd,Beethoven ,Inglewood ,North
9515350,06/03/2015,15:37:21,06/03/2015 03:41:00 PM,I Live Here,Daily,,On foot,Bus,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Never,Sometimes,Never,1957,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9515351,06/03/2015,15:43:35,06/03/2015 03:47:00 PM,I Live Here,Daily,,On foot,Bus,Less than $5,Very often,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Disagree,Sometimes,Sometimes,Never,Often,1999,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9515352,06/03/2015,15:49:02,06/03/2015 03:53:00 PM,I Live Here,Daily,,On foot,Car,Greater than $30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Sometimes,Sometimes,1981,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9515353,06/03/2015,15:54:51,06/03/2015 04:02:00 PM,Passing through en route to somewhere else,,< 10 minutes,Bike,Bus,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,,Moderately Agree,Moderately Disagree,Never,Never,Sometimes,Never,1970,Male,Non-Hispanic,White,,No,Venice Blvd,Beethoven ,Inglewood ,North
9515356,06/03/2015,16:03:07,06/03/2015 04:07:00 PM,I Work Here,Several times a week,,Bike,Car,Less than $5,Very often,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Sometimes,Sometimes,1994,Female,Hispanic or Latino,White,90291,No,Venice Blvd,Beethoven ,Inglewood ,North
9515357,06/03/2015,16:08:11,06/03/2015 04:13:00 PM,I Live Here,Daily,,On foot,,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1950,Male,Hispanic or Latino,Hispanic ,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9515358,06/03/2015,16:15:44,06/03/2015 04:19:00 PM,"Passing through en route to somewhere else, To dine / drink",,30 minutes - 1 hour,Car,,$5-10,Never,Moderately Agree,Moderately Agree,Moderately Agree,,,Moderately Agree,Moderately Disagree,Never,Never,Never,Never,1985,Female,Non-Hispanic,White,90034,No,Venice Blvd,Beethoven ,Inglewood ,South
9515359,06/03/2015,16:22:32,06/03/2015 04:28:00 PM,I Work Here,Daily,,Car,,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Never,Never,Sometimes,1963,Male,Non-Hispanic,White,90291,No,Venice Blvd,Beethoven ,Inglewood ,South
9515486,06/06/2015,12:28:42,06/06/2015 12:30:00 PM,I Work Here,Several times a month,,Car,,Greater than $30,Never,Moderately Disagree,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Agree,,,,,,,,,,,No,Hollywood,La Brea,Gower ,North
9515360,06/03/2015,16:29:31,06/03/2015 04:34:00 PM,To dine / drink,Once a week,30 minutes - 1 hour,Bike,Car,$10-30,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1990,Male,Non-Hispanic,White,90291,No,Venice Blvd,Beethoven ,Inglewood ,South
9515404,06/03/2015,16:38:14,06/03/2015 04:44:00 PM,To dine / drink,Daily,,Car,On foot,Less than $5,Very often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Sometimes,Never,Never,Sometimes,1940,Male,Non-Hispanic,White,91780,No,Venice Blvd,Beethoven ,Inglewood ,South
9515405,06/03/2015,16:47:17,06/03/2015 04:51:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Car,$10-30,Never,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Never,Never,Never,Sometimes,1986,Male,Non-Hispanic,AsianBlackNative AmericanNative Hawaiian or Pac IslanderWhite,,No,Venice Blvd,Beethoven ,Inglewood ,South
9515406,06/03/2015,16:51:59,06/03/2015 04:58:00 PM,I Work Here,Daily,,Car,,$5-10,Sometimes,Moderately Agree,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Sometimes,Never,Never,Sometimes,1963,Male,Non-Hispanic,White,90301,No,Venice Blvd,Beethoven ,Inglewood ,North
9515407,06/03/2015,16:59:07,06/03/2015 05:03:00 PM,I Work Here,Daily,,Car,On foot,$10-30,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Often,Never,Sometimes,Often,1954,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9515408,06/03/2015,17:08:21,06/03/2015 05:12:00 PM,I Live Here,,,,,,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Often,1983,Female,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515409,06/03/2015,17:16:07,06/03/2015 05:19:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,,$10-30,Often,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Never,Sometimes,Never,Never,1965,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,North
9515410,06/03/2015,17:19:46,06/03/2015 05:25:00 PM,I Live Here,Daily,,Car,,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,1989,Male,Non-Hispanic,White,90034,No,Venice Blvd,Beethoven ,Inglewood ,North
9515475,06/03/2015,17:30:59,06/03/2015 05:36:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Never,Sometimes,1993,Male,Non-Hispanic,multiracial ,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515476,06/03/2015,17:47:34,06/03/2015 05:54:00 PM,"I Live Here,  To dine / drink",Daily,,On foot,Car,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Never,Sometimes,Never,Never,1951,Male,Non-Hispanic,White,90066,No,Venice Blvd,Beethoven ,Inglewood ,South
9515425,06/04/2015,17:22:49,06/04/2015 05:23:00 PM,"I Work Here, Passing through en route to somewhere elseFor music / art, To shop",,,,,,,,,,,,,,,,,,,,,,,No,Hollywood,,,West
9515426,06/06/2015,11:03:31,06/06/2015 11:07:00 AM,To meet friends,Several times a week,,Bus,On foot,$10-30,Often,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Never,Sometimes,Never,Often,1955,Male,Non-Hispanic,White,,No,Hollywood,whitley,schrader,South
9515427,06/06/2015,11:08:58,06/06/2015 11:15:00 AM,"I Work Here,  For music / art, To dine / drink, To shop",Daily,,On foot,Taxi,$10-30,Never,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,1989,Female,Non-Hispanic,White,90046,No,Hollywood,cherokee,whitler,South
9515428,06/06/2015,11:22:43,06/06/2015 11:27:00 AM,"I Live Here,  To meet friends, To dine / drink",Daily,,On foot,Other,$10-30,Sometimes,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Often,1977,Female,Non-Hispanic,Black,90038,No,Hollywood,cherokee,whitler,South
9515477,06/06/2015,11:22:52,06/06/2015 11:28:00 AM,I Live Here,Daily,,On foot,Other,Greater than $30,Sometimes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Never,Never,Never,Often,1985,Female,Non-Hispanic,White,90028,No,Hollywood,La Brea,Gower,North
9470036,06/06/2015,11:23:30,06/06/2015 11:27:00 AM,I Live Here,Daily,,Bus,On foot,$10-30,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,,Moderately Agree,,,Never,Never,Never,Sometimes,,Male,Hispanic or Latino,White,90033,No,Cesar Chavez,Evergreen,St. Louis,South
9470037,06/06/2015,11:27:14,06/06/2015 11:28:00 AM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,,,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90033,No,Cesar Chavez,,,South
9515429,06/06/2015,11:27:22,06/06/2015 11:30:00 AM,"Passing through en route to somewhere else, To meet friends",,,On foot,,Greater than $30,Sometimes,,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Sometimes,Sometimes,Often,1961,Female,Non-Hispanic,White,55044,No,Hollywood,cherokee,whitler,South
9470038,06/06/2015,11:30:47,06/06/2015 11:33:00 AM,I Live Here,Daily,30 minutes - 1 hour,Bus,Bus,$5-10,Never,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,,,Never,Never,Never,Sometimes,1968,Male,Hispanic or Latino,White,90023,No,Cesar Chavez,,,South
9515478,06/06/2015,11:31:00,06/06/2015 11:37:00 AM,I Work Here,Daily,,Bus,Car,$10-30,Often,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Never,Never,Sometimes,Sometimes,1947,Male,Non-Hispanic,White,91331,No,Hollywood,La Brea,Gower,North
9515430,06/06/2015,11:31:06,06/06/2015 11:34:00 AM,"I Live Here, I Work Here,  To meet friends, To dine / drink",Daily,,Bus,On foot,$10-30,Often,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Sometimes,1984,Male,Hispanic or Latino,White,90028,No,Hollywood,cherokee,las palmas,South
9515479,06/06/2015,11:39:45,06/06/2015 11:43:00 AM,I Live Here,Daily,,On foot,Streetcar/Train,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Never,Never,Never,Never,1987,Male,Non-Hispanic,White,90028,No,Hollywood,La Brea,Gower ,North
